,Structure,Fréquence
1988,nc prep np prep det nc adj prep nc np,4
588,nc nc prep det nc nc,4
520,nc v prep nc adj csu nc,4
2646,nc np prep nc prep nc prep nc csu nc,4
3296,nc np prep det nc adj prep det np adj,4
1179,v adj prep nc adj,4
3270,np np nc nc nc np,4
1200,nc prep nc prep nc prep nc prep nc prep nc,4
3295,nc np prep det nc np adj,4
456,nc nc prep det nc np,4
1590,adj v det nc,4
1069,np csu adj nc,4
3278,np np adj prep nc,4
1925,nc prep nc prep det nc nc prep nc np,4
1996,np adj nc v,4
3346,nc csu nc prep det nc prep nc,4
3336,nc np v prep det adj nc adj,4
2510,nc prep nc prep nc np prep det nc prep np,4
1920,nc prep nc prep nc prep det nc prep nc np,4
2673,nc adj prep nc np np,4
1191,pro,4
130,adj prep nc adj prep nc,4
1922,nc prep nc v prep det nc adj prep nc prep det nc prep nc np,4
2669,nc adj prep det nc np adj,4
1924,nc prep nc v prep det nc nc prep nc prep det nc prep nc np,4
1991,nc v v prep nc,4
1990,nc nc v prep prep nc,4
1187,nc adj v adv adj,4
1178,nc prep nc prep nc csu prep nc adj,4
2515,nc prep nc prep det nc adj prep det np np,4
1171,nc prep det,4
551,v prep nc v,4
586,nc nc prep nc v,4
463,adj nc adj adj nc,4
182,nc adj csu v,4
494,nc np v prep nc,4
2465,np np nc nc nc,4
3370,np np np np pro np nc nc,4
1222,adj nc adj v,4
3369,nc prep nc prep nc np np np np pro,4
1615,nc prep nc prep nc prep nc prep nc adj,4
1980,v prep det nc adj adj,4
1614,nc nc prep nc prep nc prep nc adj,4
3579,nc adj prep nc adj v np,4
565,nc prep nc adj v det nc nc csu det nc nc,4
3361,nc prep det nc prep adj nc prep nc np,4
3360,nc prep det nc prep nc prep nc nc prep nc np,4
1050,nc adj adj prep nc prep det nc adj adj,4
2832,nc adj prep adj nc v prep det nc,4
1908,nc adv adj adj,4
3359,nc prep det nc prep nc prep nc nc prep nc nc,4
3337,nc np prep det adj nc adj,4
555,np prep det nc adj,4
2685,adj prep prep det nc,4
1111,nc adj prep np prep nc,4
2883,adj nc prep nc adj prep nc prep,4
2412,nc prep nc v det nc,4
146,nc prep nc prep nc prep det nc prep det nc,4
2938,nc nc prep nc prep nc np np,4
824,nc prep np prep,4
1402,nc prep np prep det nc adj,4
2272,nc adj adj prep nc adj v,4
1404,nc prep nc adj prep nc prep,4
2920,nc adj prep nc prep det nc np,4
2279,nc adj adv prep nc np,4
817,nc prep nc prep nc v adj,4
3514,nc prep det nc nc prep nc,4
2927,nc prep nc np v det nc adj,4
814,nc prep nc prep nc prep nc v adj,4
699,nc nc prep nc prep np,4
889,adv prep det nc,4
773,np adj nc np,4
2311,nc v prep det nc adj prep nc prep nc np,4
3028,nc prep det nc v nc np,4
2114,nc prep nc prep nc prep det np adj np nc v,4
326,nc prep det nc prep nc prep nc np,4
2314,nc v prep det nc nc prep nc prep nc np,4
2190,np v adj nc nc,4
2934,nc adj prep det nc v prep nc prep det nc prep nc np,4
896,nc nc v adj,4
877,np v v nc,4
1452,nc adj prep adj csu adj nc v,4
69,nc prep nc prep nc prep nc csu prep nc,4
3489,nc adj nc prep det nc adj prep nc np,4
2261,nc prep nc prep nc prep nc nc,4
2891,nc adj v v v prep det nc np prep nc,4
1386,adj prep adj nc prep nc,4
855,nc adj adj adj prep nc adj,4
3046,nc prep nc prep np nc adj,4
2882,np v prep det nc adj np,4
3047,nc prep nc prep np adj prep nc,4
3048,np v det np adj,4
3026,nc np prep nc prep det nc v,4
727,nc np prep nc np v det nc,4
2237,v prep det nc prep nc prep nc,4
725,nc nc v prep adj nc,4
753,nc adj prep adj nc prep nc,4
2137,nc prep nc np prep np,4
3056,nc prep nc prep nc csu prep nc v prep det nc,4
2138,adj prep adj nc prep np,4
2139,adj prep adj nc prep det np,4
1394,nc v det adj nc,4
1787,nc adj prep prep np,4
312,nc prep nc prep nc prep adj,4
1414,nc adj prep nc prep nc prep nc prep np,4
809,nc prep nc prep nc v prep nc prep det nc,4
267,adj v v prep nc adj prep det nc,4
2837,nc adj prep nc adj prep adj nc v prep det nc,4
1321,nc adj prep nc prep det nc prep nc,4
254,nc adj prep prep nc,4
1707,nc prep nc nc nc np,4
1734,nc prep nc prep det nc prep det np,4
2988,nc prep v nc prep nc,4
2836,nc adj prep nc adj v prep adj nc,4
329,nc np prep nc prep nc prep nc prep det np,4
2183,nc adj adj prep det nc prep nc,4
792,nc prep det nc np np,4
3100,adj nc prep det nc prep nc prep nc np,4
328,nc np prep nc prep nc v det np,4
1427,nc det,4
1806,adj prep det nc adj prep nc,4
1490,nc prep np v nc,4
330,nc prep det nc np prep nc prep nc v det np,4
2184,nc nc np prep np,4
3104,adj prep nc prep det nc adj,4
907,nc adj adj prep det nc prep np,4
2326,nc prep nc prep nc prep nc prep det nc,4
904,nc adj nc prep,4
2851,nc v prep det nc adj np,4
1483,nc adj prep np adj,4
1703,np prep nc adj,4
331,nc prep det nc np prep nc prep nc prep nc prep det np,4
352,np nc adj adj nc,4
1333,nc prep nc prep nc prep det nc np,4
784,np v det nc prep nc,4
2113,nc prep nc prep nc prep det np v,4
3598,adj nc prep det nc prep nc adj prep nc,3
2546,adj nc nc np nc,3
439,np np adj prep det nc adj,3
1999,adj nc adj adj nc nc,3
1455,nc adj adj adv v,3
436,nc nc nc prep np,3
2154,np np prep,3
2160,v prep nc prep nc prep nc,3
2507,nc nc v v,3
430,np np nc np nc,3
1439,v prep nc prep det nc prep nc,3
1202,nc prep nc csu prep nc prep nc prep nc,3
1438,v prep v det nc prep nc,3
1145,adj prep nc prep nc prep nc adj,3
1437,nc prep v det nc prep nc,3
2250,nc nc adj nc adj,3
2542,nc prep det nc prep nc prep nc nc prep nc adj,3
1416,nc adj prep nc prep nc adj prep np,3
2181,nc adj adj prep nc csu prep det nc,3
1448,nc prep nc np csu np,3
2186,nc adj adj np nc,3
1172,nc adj prep adj nc prep nc adj adj,3
1173,nc nc prep nc adj prep np adj,3
1550,nc prep det np adj adj,3
2524,nc prep nc adj adj nc prep nc,3
1444,nc prep adv adj nc,3
1979,v prep nc adj adj nc,3
1987,nc prep nc prep nc adj csu adj,3
2146,nc np np prep nc,3
2145,nc np prep nc nc nc,3
1164,nc prep nc prep det nc adj nc,3
1182,np prep,3
3339,nc v prep det adj nc adj,3
3499,nc adj prep det adj nc prep det nc,3
1554,np nc pro,3
173,nc prep det nc np nc,3
1419,nc prep det adj adj,3
1449,nc csu np csu np,3
1406,nc v nc adj,3
1186,nc adj csu adj prep nc prep nc,3
260,nc v adv v,3
179,np nc adj csu adj,3
1401,nc adj csu adj adj,3
1994,nc v adj prep nc adj,3
2223,nc prep det nc prep nc prep adj,3
3500,nc adj prep det nc adj nc,3
3597,adj nc prep det nc prep nc adj adj prep nc nc,3
1310,nc prep nc prep nc prep np prep np,3
272,np np nc adj adj,3
3427,adj nc prep nc adj prep nc nc,3
2420,nc prep adj nc prep nc adj,3
1513,nc adj prep det nc prep v,3
3421,nc adj prep nc adj prep nc prep nc adj,3
1338,nc nc prep np np,3
2054,nc prep adv nc,3
2053,nc adj prep adj nc np,3
2052,nc adj v prep adj nc,3
2046,adj prep nc prep nc prep nc,3
1341,nc prep det nc v adj prep nc,3
2448,adj prep adj nc v,3
1342,nc prep det nc adj prep nc v prep nc,3
1478,nc adv adv v,3
2449,adj prep adj nc prep det nc,3
2315,nc prep det nc nc prep np,3
1258,nc prep nc prep det nc csu prep nc,3
1257,nc adv prep nc prep nc,3
1255,nc prep nc csu nc prep nc,3
1510,nc adj prep nc prep v,3
190,v prep pro,3
189,nc adj csu adj prep nc adj,3
2414,nc np prep nc prep det nc adj,3
2354,nc prep nc nc prep nc adv adj,3
1496,nc prep nc prep nc adj prep np,3
3556,nc adj prep nc prep nc csu prep det nc,3
2083,nc np np nc np,3
2376,nc v prep nc adj adj,3
2348,np np adj np,3
2377,nc prep nc prep det np nc,3
2378,nc adj prep np prep np,3
3565,nc prep nc prep det nc v prep prep nc,3
3566,nc prep det nc v prep prep nc,3
366,nc prep det nc np prep nc v det np,3
347,nc prep nc prep nc prep np np,3
3478,nc prep nc nc v prep prep nc,3
1480,nc csu nc prep nc prep nc adj,3
367,nc prep adj nc adv adj,3
3430,adj nc prep nc adj nc,3
2063,np np adj v,3
388,nc prep nc prep det np adj nc,3
1472,np nc np v,3
2003,nc v adj adj,3
1366,nc prep np adj nc,3
2271,adj nc nc v,3
1232,nc prep nc prep v v,3
3393,np np v nc np np,3
2128,nc prep nc prep det adj nc,3
2467,nc prep nc adj adj v prep nc,3
2468,nc prep nc adj adj v prep np,3
2265,nc prep nc prep nc nc v prep nc,3
1312,nc prep det nc csu prep det nc adj,3
1530,nc adj adj prep nc prep det nc adj,3
420,adj np np nc np,3
3366,nc adj prep det nc adj csu prep det nc adj,3
290,nc prep nc adj v prep prep nc,3
1213,v prep adj,3
2010,nc nc prep nc prep nc prep nc prep nc,3
1209,nc np v nc,3
1205,nc prep det nc adj adj adj,3
2131,nc prep adj nc adj csu adj,3
1233,nc prep v v,3
403,nc adj v det nc prep nc prep nc prep np,3
3405,nc adj adj prep nc adj v prep det nc,3
1365,adj nc prep det nc prep np,3
2460,nc np prep np adj,3
3568,np prep np nc,3
2282,nc adj adj nc nc nc,3
1246,np nc v prep det nc,3
2462,v prep nc nc,3
399,nc adj v det nc prep nc prep np,3
1243,nc adj csu prep nc adj prep nc,3
400,nc np v det nc prep nc prep np,3
2126,np prep np np,3
1467,nc prep nc v prep det nc prep nc adj,3
1241,nc nc prep nc csu nc adj,3
3484,np np prep nc v det nc np,3
1239,nc nc prep nc csu nc prep nc prep nc,3
401,nc adj np v det nc prep nc prep np,3
1364,nc adj adj adj prep np,3
1237,adj nc v prep det nc prep nc adj,3
1236,v prep det np adj adj,3
1463,adv,3
1433,v prep nc prep det nc adj,3
3599,adj nc prep det nc prep nc prep nc nc,3
672,nc prep nc v prep adj nc,3
3178,nc adj adj prep nc adj csu adj,3
2820,nc nc nc v nc,3
946,nc prep det nc csu prep nc prep nc,3
2824,adj nc prep nc adj np,3
940,np csu np,3
939,nc prep nc prep adj nc prep nc,3
938,np nc nc prep nc,3
661,np np prep nc csu prep nc,3
2834,nc nc adj prep adj nc,3
1662,np nc np np nc,3
1665,nc prep det nc prep det nc v,3
607,nc nc adv adj,3
676,v v prep det nc np,3
2839,adj nc adj nc adj nc,3
2840,nc np nc prep nc np,3
1666,nc prep nc nc prep det nc prep np,3
2841,nc nc np nc,3
2846,nc adj v prep nc prep nc adj,3
1802,nc prep nc adj csu prep nc adj,3
2848,adj nc prep nc prep,3
3096,nc adj prep nc adj prep nc np,3
3093,nc nc prep nc np v prep nc np,3
3320,nc prep det nc prep nc prep nc nc,3
951,nc prep np v prep det nc,3
2797,nc prep det nc prep nc prep det np,3
959,nc prep nc csu prep np,3
1004,adj adj v nc,3
2737,np np v prep det nc,3
610,np v nc v,3
611,np adj np np,3
994,nc prep det nc csu det nc prep nc,3
1856,nc prep nc prep nc prep v,3
2753,nc adj adj prep nc prep nc adj,3
617,nc adj adj adj nc,3
619,nc prep det nc prep det nc csu prep nc,3
1636,nc nc adj prep nc csu prep nc,3
628,nc np nc prep nc,3
978,np nc prep np np,3
1639,np nc adj nc adj,3
2782,nc adj v adj nc,3
631,np nc np np v np,3
1836,nc prep det nc prep np prep np,3
634,nc prep nc adj csu pro prep nc,3
1835,nc prep nc adj prep np prep np,3
638,v prep v det nc,3
101,nc prep nc adj prep prep nc adj,3
2793,nc adj adj nc prep nc adj,3
902,nc adj adj prep,3
3669,nc adj prep det nc v det nc np,3
1673,np nc nc np np,3
1687,adj nc np adj,3
837,nc adj adj adj csu adj,3
836,nc adj adj csu nc adj,3
3678,adj nc adj prep nc v prep det nc,3
763,nc v prep nc nc adj,3
1692,nc v nc nc,3
828,nc prep det nc prep nc v,3
2918,nc prep nc prep nc adj prep nc prep det nc prep nc,3
821,nc prep adj csu adj,3
34,nc v prep nc v,3
2923,nc prep nc prep nc prep det nc prep np,3
2928,nc np prep nc prep nc nc prep nc nc,3
2929,nc np prep nc prep nc nc prep nc np,3
1746,nc pro v det nc,3
806,nc adj prep det nc csu prep nc,3
3714,nc prep nc adj prep det nc v det nc,3
796,nc np pro v prep det nc,3
2947,nc adj prep nc nc prep nc,3
791,nc nc prep nc adj prep det nc,3
1730,nc prep det nc v adj,3
1712,nc adj prep nc adv adj,3
2968,nc prep nc np v prep np,3
3025,nc adj v adj v prep det,3
2888,nc v prep nc adj np,3
2858,nc prep det nc prep nc prep nc prep np,3
846,np v prep det nc adj,3
695,nc nc np v prep adj nc,3
696,nc nc np v prep nc v,3
3079,nc prep nc nc prep nc prep det nc adj,3
2864,nc prep nc prep prep nc prep nc prep nc,3
2865,nc v prep prep nc prep nc prep nc,3
2866,nc pro v prep nc prep nc prep nc,3
703,nc np prep det nc prep nc nc,3
2867,nc pro pro v prep prep nc prep nc prep nc,3
879,nc adj prep nc csu adv,3
1790,nc prep v adj,3
3068,nc nc v prep det np,3
720,adj np nc,3
3057,nc prep nc prep nc csu prep nc v prep nc,3
723,nc det adj nc,3
868,adj nc np np,3
1784,np np prep det nc,3
1783,nc adj prep det nc prep nc prep det nc,3
2879,np v det adj nc,3
3043,nc v prep det nc prep nc prep nc prep nc adj,3
3042,nc v prep det nc prep nc prep nc v adj,3
3039,nc adj prep nc prep nc adj adj,3
1006,np adj np,3
654,nc v adj csu adj,3
1008,nc adj v prep nc adj adj,3
493,nc nc nc prep nc,3
1053,nc adj adj prep nc nc,3
1434,v prep v prep det nc,3
3257,adj nc adj prep adj,3
1110,np nc adj prep det np,3
3600,adj nc prep det nc prep nc adj prep nc nc,3
2607,nc prep nc prep nc nc np,3
141,np v nc adj adj nc,3
507,nc prep nc prep nc v prep det nc,3
1903,np prep nc prep np,3
1120,adj prep det nc prep nc prep nc prep nc,3
1047,nc adj adj prep np np,3
491,nc prep v prep det nc adj,3
1039,nc adj prep nc csu prep nc prep nc,3
1897,nc adj prep np nc,3
505,nc adj prep nc v prep np,3
1064,nc adv nc,3
1127,nc prep np prep nc prep nc,3
3610,nc prep nc np adj prep det nc adj,3
524,nc prep nc v prep det nc prep nc v prep det nc,3
521,np v det nc adj csu det nc adj,3
1079,nc prep np np csu np,3
1088,nc prep np nc prep,3
1076,nc adj prep det nc csu prep det nc,3
1075,nc prep nc adj csu nc,3
530,nc prep det nc prep nc adj adj,3
510,nc nc prep nc csu prep nc,3
2731,nc nc np v prep det nc,3
2647,adj prep np,3
1605,nc adj csu prep nc adj,3
2641,nc pro v prep nc prep,3
111,nc prep nc v v,3
1589,nc adv v adv det nc,3
1893,nc adj prep det nc prep np np,3
128,adj prep nc v,3
3240,np nc np np np nc np,3
1863,nc prep det nc prep nc prep v,3
2590,nc v prep det nc prep nc prep det nc nc,3
1875,nc prep nc prep nc nc adj,3
1872,nc prep nc prep np prep np,3
143,nc nc adj adj nc,3
2706,v nc adj prep nc,3
580,nc prep nc v prep det nc v det nc adj,3
1887,nc np prep nc prep np,3
1864,nc prep det nc prep nc prep np prep np,3
584,nc nc prep nc csu nc,3
1016,adj v prep nc,3
103,nc v adv prep nc,3
3230,adj nc prep det nc adj prep det nc nc prep nc,3
3603,adj nc prep np csu np,2
3538,adj prep nc adj prep nc adj,2
1932,nc prep adj nc csu prep det nc,2
3535,v adj prep det nc,2
1984,nc adj prep nc prep adj nc,2
1986,np np adj adj,2
1786,nc v det nc prep nc prep nc,2
3602,nc nc adj prep nc prep nc np,2
2124,nc pro v prep det nc prep nc prep det np adj,2
2153,nc adj nc prep det nc,2
1930,nc prep det nc prep det nc prep det nc,2
1792,nc v prep det nc prep det nc,2
3718,nc prep nc prep nc adj prep nc prep nc adj v det nc,2
3677,nc nc adj prep nc v prep det nc,2
1791,v prep det nc np,2
2125,nc pro v prep det nc prep nc prep det np,2
3529,nc prep det nc adj csu det nc,2
2163,nc prep nc adj prep nc prep nc prep adj,2
3528,nc prep nc prep det nc np nc prep nc adj,2
1775,np nc adj adj nc adj v,2
1726,v nc adj nc,2
1958,nc nc prep det nc prep nc v adj,2
1960,nc prep nc prep nc prep det nc adj prep nc np,2
1725,nc v prep nc adj prep np,2
3702,nc adj adj v prep det nc,2
3601,nc nc adj prep nc adj prep nc,2
1961,np nc prep det nc adj prep nc,2
1952,nc adj prep nc v v prep np,2
3595,np np prep det nc prep det nc adj,2
1955,nc nc prep nc adj prep nc np,2
1759,nc prep nc prep nc adj v prep nc,2
3588,nc prep nc v adv,2
2150,nc prep nc prep nc nc prep det nc,2
1956,nc nc prep nc prep nc v adj,2
3587,adj nc prep nc v prep nc,2
3581,nc adj prep det adj nc prep nc,2
2144,nc nc nc prep nc nc,2
3688,nc prep nc prep nc np prep det nc,2
1764,nc nc prep nc adj adj csu adj,2
3687,nc prep nc prep nc prep prep det nc,2
3684,nc prep nc prep nc np prep nc,2
3530,nc prep nc nc nc prep det nc adj csu det nc,2
2121,nc prep nc prep det nc prep nc prep det np,2
1954,nc adj adj prep nc np adj,2
1767,v csu nc prep nc,2
1948,nc adj adj prep nc np csu np,2
3713,nc prep nc prep nc adj v det nc,2
1769,adj nc prep nc prep det nc adj,2
1744,v prep nc np,2
1738,nc csu adj csu adj,2
1966,nc prep nc prep nc v prep det nc np,2
2135,np nc nc nc v,2
1943,nc adj adj adj v prep det,2
1938,nc adj adj pro np,2
1774,nc adj prep nc prep det nc v,2
1962,adj nc v prep np,2
3534,nc prep nc prep det nc nc prep nc adj,2
3715,nc prep nc prep nc prep det nc prep det nc v det nc,2
3680,adj v det nc prep nc adj,2
1916,nc prep adj nc nc prep nc,2
2119,nc prep nc prep det nc prep nc prep det np adj,2
1899,adj adj np np,2
1833,nc adj adj nc v,2
2062,v v prep nc v adj,2
1830,nc adj prep det nc prep det nc csu prep nc adj,2
1829,nc prep det nc prep det nc csu prep nc adj prep nc prep np,2
3637,nc nc adj v nc,2
2021,nc prep nc adj prep nc nc det nc,2
1825,nc prep det nc csu prep nc adj prep np prep np,2
3625,nc adj adj prep det nc prep nc adj,2
1888,nc np nc prep np,2
2015,nc v det nc prep nc prep nc csu prep nc,2
2066,nc v det np adj,2
3638,nc prep det nc prep prep nc adj,2
2074,nc adj prep nc adj prep np,2
3563,nc prep det nc adj v prep nc,2
2014,nc np np adj adj nc,2
1815,nc prep nc prep nc csu prep nc adj prep np prep np,2
3634,nc v det nc adj prep det nc np,2
2022,nc prep nc adj prep nc pro v prep det nc,2
1902,np np v nc np,2
2043,np v np v,2
1860,nc prep det nc csu prep det nc prep nc prep v,2
1861,nc prep det nc csu prep det nc prep nc prep np,2
1859,nc prep det nc csu prep det nc prep nc,2
1858,nc adj prep det nc csu prep det nc prep nc,2
2039,nc v adj adj prep np,2
3631,nc prep det nc adj v det nc,2
2040,v nc prep nc adj prep np,2
1852,np np adj nc nc v,2
2024,nc adj det nc,2
1846,np np np nc v,2
1842,nc adj prep nc adj csu prep nc,2
1876,nc prep nc prep nc nc prep nc adj,2
3628,nc np v det nc np,2
3633,nc prep nc prep nc adj prep det nc np,2
1837,adj nc np v,2
2031,v nc prep adj nc,2
1901,np np nc np nc adj,2
3562,nc prep nc prep det nc v prep det nc,2
2118,nc adj adv adj nc,2
3657,nc v prep det nc adj csu v prep det nc,2
2103,nc adv v adj prep nc adj,2
2108,adj prep adj nc adj,2
2007,nc adj adj adj nc adj,2
3545,nc prep det nc prep nc adj v,2
3616,adj nc prep nc nc prep det nc prep np,2
3541,adj prep nc prep nc prep nc prep nc,2
2001,nc adj v nc np,2
2000,nc adj v det nc prep nc,2
3547,adj nc csu nc prep nc np,2
1912,nc v prep adj nc adj,2
1800,adj adj nc np,2
3673,nc nc prep nc adj v,2
3676,nc prep nc adj prep np np csu np,2
3604,adj nc prep nc np adj prep np,2
3540,nc adv adj prep nc adj nc,2
3539,nc prep det nc prep nc prep nc nc prep nc,2
3546,nc np adj prep np,2
1909,nc prep nc prep adv adj nc,2
3560,adj nc adv prep nc adj,2
2094,nc nc adj v prep nc,2
2092,nc adj adj adj adj prep nc,2
1814,nc prep nc prep nc csu prep nc adj prep np,2
3551,nc v det nc csu det nc,2
1813,nc prep nc prep nc csu prep nc adj prep v,2
3549,nc adj csu adj prep nc np,2
3548,nc prep nc csu prep nc prep nc np,2
1904,np prep np prep np,2
3642,np nc adj nc adj nc,2
2008,nc adj nc v adj,2
1812,nc prep nc adj prep nc csu prep nc adj,2
2099,nc adj adj nc v csu v,2
3652,np np nc v nc,2
2009,nc nc prep nc nc nc,2
2100,nc adv adj adj nc adj,2
2102,nc adv v adj nc adj,2
3655,nc adj csu nc adj prep nc adj,2
1933,np v adj v nc,2
2976,nc np prep det nc prep np adj,2
2164,nc prep nc adj prep nc v prep adj,2
3247,adj nc prep det nc adj np prep det nc nc prep nc np,2
3241,nc adj prep det nc adj np prep det nc nc prep nc,2
2713,nc v prep det adj prep nc,2
2708,nc adj prep nc prep nc csu prep nc,2
3242,nc adj prep det nc adj np prep det nc nc prep nc np,2
3243,nc adj prep det nc adj np prep det nc adj,2
3246,adj nc prep det nc adj np prep det nc nc prep nc,2
2700,np nc prep nc adj prep adj nc,2
3238,nc adj prep det nc adj prep prep det nc nc prep nc,2
2699,np nc prep nc adj prep nc adv adj,2
3248,adj nc prep det nc adj np prep det nc adj,2
2696,nc v prep nc prep det nc np,2
3249,adj nc prep det nc adj np prep det nc v,2
2695,nc prep prep nc adj prep det nc,2
2691,nc adj prep nc v det nc,2
3239,nc adj prep det nc adj prep prep det nc adj,2
2718,nc np v np,2
2165,nc prep nc prep nc v prep adj,2
2770,nc prep nc prep nc adj adj prep det nc adj,2
2783,nc adj v np adj,2
3216,nc np prep nc nc nc v,2
2780,adj nc nc v nc,2
2779,nc v nc adj nc adj,2
2776,nc prep nc v np,2
2773,nc prep nc v prep det nc v det nc,2
3225,np np prep nc prep nc prep np,2
2723,np nc prep nc nc,2
2758,nc v prep det nc pro,2
2750,nc prep adj nc adj prep nc,2
2743,nc prep nc adj adv,2
2740,np det,2
2736,nc prep det nc v prep det nc nc,2
3235,nc adj prep det nc adj prep det adj nc prep nc np,2
3255,adj nc prep nc prep adj,2
3256,adj nc adj prep nc prep adj,2
3258,adj nc adj adj prep adj,2
3298,nc v prep prep nc v prep det nc np,2
3287,nc adj adj prep det nc np adj,2
3288,nc adj adj prep det nc adj prep det np adj,2
3289,nc adj adj prep det nc adj prep det np,2
2633,nc prep nc nc prep,2
3297,nc prep nc prep nc nc prep,2
2617,nc pro v prep nc prep nc np,2
2612,nc prep nc v prep adj nc prep nc adj,2
3264,np np np nc nc np,2
2610,adj nc nc nc adj,2
2608,nc prep det nc prep nc prep adj nc prep nc,2
3300,nc v prep det nc adv adj,2
2604,nc prep nc nc prep nc prep nc,2
2603,nc nc prep det nc prep,2
2601,nc prep det nc adj prep,2
2642,nc prep nc prep np prep,2
2652,nc np prep det nc prep nc prep det nc adj,2
2653,nc np adv adj,2
2662,nc prep nc adj np adj,2
2668,nc prep nc csu prep nc prep det nc,2
2670,nc adj np v det nc,2
2671,nc np adj nc nc,2
2672,nc pro adj,2
2674,nc np prep nc np np,2
2677,nc np v prep np,2
2683,adj prep np prep det nc,2
3277,nc adj prep nc csu prep det adj nc,2
2684,nc prep adv adv v prep nc,2
3273,v adj prep nc csu prep det nc,2
3272,nc adj prep nc csu prep det nc prep nc np,2
3271,np np nc v adj nc,2
2686,nc prep nc prep prep det nc,2
2790,nc adj prep nc v v,2
3215,nc np prep nc nc v,2
3214,nc np prep nc nc nc prep nc adj,2
2908,nc prep nc adj nc csu prep nc prep nc,2
2917,nc v prep det nc prep nc np,2
2911,nc pro v prep np adj,2
3007,nc adj adj prep det nc nc,2
3008,nc v prep nc prep np v prep det nc,2
2910,v pro v prep det nc prep nc prep nc,2
3012,np np nc prep nc np,2
2907,nc prep nc prep nc adj nc csu prep nc nc prep nc,2
2874,nc prep nc v v prep det nc,2
2906,nc prep nc prep nc adj nc csu prep nc prep nc,2
2896,nc np v det nc adj nc,2
3027,nc np prep nc prep det nc adj adj,2
2887,nc adj prep nc adj v prep det nc,2
1721,nc prep nc v prep det nc prep det nc,2
3054,nc prep det nc adv prep det nc,2
3006,nc adj prep det nc adj np,2
3003,adj np np np,2
3001,nc adj nc v prep det nc,2
2933,nc adj prep det nc v prep adj np prep det nc,2
2935,nc v prep det nc csu det np,2
2939,adj nc prep det nc adj prep nc np,2
2941,adj nc prep det nc adj prep np,2
2942,adj nc prep det nc adj prep nc prep nc np np,2
2943,adj nc prep det nc adj prep nc prep nc np,2
2946,nc prep det nc adj prep det nc prep nc np,2
2993,np v nc adj nc,2
2951,nc prep nc prep prep det nc prep np,2
2983,nc prep nc prep nc np prep nc np,2
2957,nc prep np nc adv adj prep det nc,2
2962,nc adj v v prep det,2
2966,nc prep det nc csu prep det nc prep det nc,2
2977,nc np prep det nc prep nc prep nc prep nc adj,2
3055,nc prep adj v prep nc,2
3066,nc v prep det nc prep det nc adj,2
3213,np np nc nc adv np,2
2822,nc prep nc prep nc adj csu prep nc nc prep nc,2
3144,nc adj prep det nc prep nc prep np,2
2833,nc adj adj prep nc prep adj nc,2
3146,np nc nc nc nc np np,2
3147,np np prep det nc nc nc adj prep nc,2
3148,np np prep det nc nc adj prep nc,2
2823,adj nc prep nc prep nc prep det nc np,2
2821,nc prep nc prep nc adj csu prep nc prep nc,2
2872,nc prep nc np adj prep nc,2
2807,nc np prep nc prep det nc nc,2
3182,adj nc adj np np nc v,2
3196,nc nc nc prep nc np,2
2794,np nc prep nc csu nc prep det nc,2
3202,nc prep nc nc np nc prep np,2
3204,nc prep nc nc np np prep np,2
2835,nc adj prep nc adj adj prep adj nc,2
3134,nc adj prep nc prep det nc adj prep np prep np,2
3133,nc adj prep nc prep det nc adj prep np,2
3132,nc adj prep nc prep det nc adj prep v,2
3127,nc prep nc adj adj prep nc adj,2
3122,nc adj adj v prep det nc adj prep nc prep det nc,2
2842,nc adj prep nc nc v,2
2847,adv adj nc nc nc,2
3092,nc v prep nc adj prep nc adj,2
2853,nc prep nc adj adj np csu prep nc,2
2855,np adj nc adj nc,2
2856,nc np nc adj nc,2
3090,nc v prep nc adj prep nc np,2
2863,nc np adj prep det nc np,2
3076,v csu v,2
2870,nc nc prep nc adj np,2
3067,nc adj adj prep det np,2
2600,nc prep nc prep prep nc prep nc,2
3302,nc prep nc prep v prep nc,2
2591,nc v prep det nc pro v prep det nc nc,2
2323,nc adj adj adj nc prep nc np,2
3463,np nc prep nc prep det np,2
2340,nc v prep det nc prep nc adj,2
2339,nc nc nc adj csu adj,2
3470,nc np prep nc np v det nc prep nc,2
2332,adj np np nc,2
2331,np nc v det nc,2
2316,nc prep det nc nc prep adj np,2
3483,nc prep nc adj prep nc adj prep nc,2
2312,nc prep det nc adj prep adj np,2
3479,adj nc np prep nc v prep nc np,2
2305,nc csu nc prep det nc adj,2
2303,nc np np np np v,2
2296,nc prep det nc prep nc prep nc prep nc prep np,2
3481,nc prep nc prep np prep nc prep nc,2
2341,nc adj adj v prep prep nc adj,2
2345,nc v prep prep nc prep nc,2
3461,nc prep nc det nc,2
2350,nc np nc np np np,2
3453,nc v prep prep adj nc,2
3451,nc prep prep det nc nc prep nc prep np,2
3442,nc adj prep nc v prep nc prep nc,2
2358,nc adj prep det np adj adj,2
2361,nc prep nc adv,2
2365,nc adj prep det nc prep det nc prep det nc,2
3441,adj nc prep nc v prep nc prep nc,2
2366,nc adj prep det nc v prep det nc prep det nc,2
2368,nc adj adj v prep nc adj,2
2369,nc adj adj v prep det nc adj,2
2370,adj prep adj nc prep det nc prep np,2
3433,nc prep np prep adj nc,2
2380,nc nc v prep det,2
2286,nc prep nc adj csu adj nc,2
2280,nc adj adv prep nc prep nc prep nc,2
