,Structure,Fréquence
1007,nc prep adj prep nc,24
171,nc np prep det nc adj,24
598,nc prep nc prep nc prep np,24
970,np nc prep nc prep nc,24
459,nc nc nc nc,24
585,nc prep det nc v,24
417,nc nc prep nc prep det nc,24
1562,adj nc v,24
1031,nc prep det nc nc adj,24
1097,v np prep nc,23
550,nc adj prep nc v,23
710,nc prep nc v prep det nc np,23
523,np np prep nc,23
612,nc prep adj nc prep nc,23
616,nc prep np v,23
223,nc prep det nc prep nc prep nc adj,23
705,nc v prep det nc nc,22
229,np nc np nc,22
301,nc v det nc prep nc,22
395,nc prep nc prep det np,22
3390,nc prep det nc v np,22
200,adj nc prep nc prep nc,22
603,np nc np np,22
496,nc nc v nc,22
624,nc prep nc np adj,21
323,nc prep det adj,21
1405,nc np np np,21
567,nc np prep nc prep nc,21
569,adj nc adj v prep nc prep nc,21
1027,np np v,21
2161,nc prep det nc prep np adj,21
893,np np nc np,20
61,v nc adj,20
881,nc adj prep nc prep nc prep nc,20
508,nc prep nc adj v prep det nc,20
299,adj nc prep np,20
887,nc v det nc adj,20
286,np nc nc nc,20
1289,nc nc np np,20
1466,nc prep nc prep det nc prep np,20
258,nc v v,20
279,nc adj prep nc adj prep nc,19
901,nc adj prep,19
13,nc prep nc adj prep nc prep nc,19
589,nc nc prep nc nc,19
667,nc prep det nc prep np nc,19
511,adj prep det nc,19
1957,nc nc prep det nc adj prep nc np,19
737,np nc v nc,19
2884,nc v prep nc v prep det nc np,19
458,adj nc nc nc,19
460,v adj nc,19
255,nc prep nc csu prep nc prep nc adj,18
294,v nc np,18
313,nc nc prep,18
635,nc adj v prep det nc adj,18
1369,nc prep prep det nc,18
1603,nc adj prep nc adj adj prep nc,18
620,np np prep nc np,18
1108,nc prep nc prep nc v,18
482,nc adj v prep np,18
358,nc prep nc prep nc prep det nc adj,17
235,nc adj adv v,17
1373,nc adj nc prep np,17
1020,nc adj adj prep nc prep nc,17
170,nc prep nc prep nc prep det np,17
962,nc prep nc adj adj adj,17
754,v adj prep nc,17
195,nc prep nc prep nc csu prep nc,17
2419,nc prep adj nc prep nc np,17
271,np v v,17
285,np nc nc adj,17
278,nc adj prep nc csu prep nc,16
700,np np adj nc,16
748,nc np adj prep nc,16
533,nc adj prep adj np,16
1926,nc nc adj prep nc adj,16
515,nc v prep nc prep det nc,16
932,adj csu adj,16
383,np np prep nc prep det nc prep,16
1198,adj nc adj adj,16
2061,nc prep nc prep nc adj prep nc adj,16
756,nc np prep nc np,16
77,nc prep det nc prep det nc adj,16
495,nc np np nc,15
999,v nc nc,15
384,np v nc prep nc,15
915,nc prep nc prep np nc,15
1284,nc prep nc v prep nc adj,15
1298,nc v prep nc prep nc adj,15
1130,nc prep nc adj v prep nc,15
1062,nc v prep prep nc,15
1376,nc np prep nc nc,15
848,nc adv adj prep nc,15
465,nc np prep nc prep det nc,15
681,nc prep nc nc prep nc np,15
593,nc adj prep np np,15
2694,nc np prep nc adj prep det nc,15
1592,nc prep nc adj prep nc prep nc adj,14
467,np v det nc,14
1183,nc prep nc prep nc prep,14
842,nc prep det nc csu prep nc,14
2081,nc adj prep nc prep nc np,14
1037,nc adj adj nc prep nc,14
288,nc adj v prep prep nc,14
762,nc nc v det nc,14
890,adv prep nc,14
632,nc adj prep nc prep det nc adj,14
526,nc pro v prep np,14
527,np nc adj v,14
2285,nc v prep nc prep np,14
3402,nc adj prep nc adj v prep nc,14
191,nc prep pro,14
1227,nc adj prep nc csu prep det nc,14
1650,nc v det np,14
42,adj nc adj prep nc,14
702,nc adj adj nc adj,14
3252,np np np nc np,14
280,np v nc nc,14
2115,nc prep nc prep nc prep det np v adv adj,14
2034,nc prep nc prep nc prep nc adj prep nc,14
1959,nc nc np adj prep nc,14
1556,nc v prep det np,14
781,nc adj np np,14
2116,nc prep nc prep nc prep det np adj np nc v adv adj,14
97,nc adj v prep det nc prep nc,14
343,nc v prep nc adj csu nc csu prep nc adj,14
3052,nc nc nc adj prep nc,14
1523,nc nc adj prep np,14
917,nc pro v prep nc,13
374,nc prep det nc v prep det nc,13
2129,nc np prep nc adj adj,13
275,adj adv v,13
302,nc prep nc prep np adj,13
481,nc adj nc adj adj,13
91,nc adj csu nc,13
2506,nc adj v prep nc prep nc,13
1362,nc prep nc prep det nc adj prep nc np,13
2130,np np prep det nc adj,13
764,nc adj v prep det,13
1189,nc prep nc nc v,13
1274,nc adj v v,13
2418,nc nc prep nc prep nc adj,13
1919,nc prep nc prep nc nc prep nc np,13
335,nc prep nc prep nc v prep nc,13
851,v prep np,13
123,nc pro v prep det nc,13
706,nc adj prep det nc nc,13
545,v v prep nc,13
1061,nc prep np prep nc np,13
987,np nc adj np,13
711,nc v prep det nc np,13
534,np v adj nc,13
429,nc prep det nc prep nc prep det nc,13
492,nc prep nc np prep nc adj,13
396,nc prep nc prep det nc nc,13
407,nc prep nc prep nc adj adj prep nc,13
133,nc v prep nc prep nc prep nc,13
471,nc prep nc adj v prep det nc prep nc,13
120,adj nc nc adj,13
2110,adj nc prep nc prep nc np,12
187,nc prep nc csu prep nc adj,12
928,nc adj prep det nc prep det nc,12
2112,nc adj prep nc csu adj,12
597,nc prep nc v prep det nc prep nc,12
392,nc prep nc adj prep det nc adj,12
1798,nc v np,12
742,nc adj adj v prep det,12
852,adj nc prep,12
769,nc prep np prep nc adj,12
1804,nc adj prep nc nc adj,12
1586,nc v adj prep nc,12
344,np v det nc adj csu prep nc adj,12
856,nc adj adj adj adj,12
2727,v prep nc prep np,12
1185,nc csu nc prep nc prep nc,12
188,nc csu nc prep nc adj,12
757,nc nc v prep det nc,12
1011,nc adj v np,12
2899,nc np prep nc prep nc prep det nc,12
3101,adj nc prep det nc prep nc np,12
1644,nc v prep prep nc adj,12
82,det nc prep det nc,12
921,nc adj adj adv adj,12
872,nc v prep det,11
591,nc adj prep det adj nc,11
967,v np,11
1834,nc prep nc adj prep v,11
499,nc v det nc np,11
2599,nc prep nc prep det nc prep nc prep nc,11
1138,np np np np nc,11
2605,nc prep nc nc prep nc nc,11
712,nc adj prep det adj,11
1049,nc prep nc prep det nc adj adj,11
543,adj nc nc np,11
233,adj nc prep det nc adj,11
135,np nc adj prep det nc,11
3286,nc np nc nc np,11
956,np adv adj,11
80,nc prep nc prep det adj,11
923,np v adj,11
387,adj nc prep nc adj prep nc,11
715,nc prep nc prep v,11
