,Structure,Fréquence
789,NOM PRP NAM ADJ,49
486,NOM PRP DET:ART NOM ADJ PRP:det NOM,48
507,NOM PRP NOM PRP DET:ART NOM NAM,48
4078,VER:pres NOM PRP:det NOM PRP NOM NUM,48
687,NOM PRP NOM PRP:det NAM,47
402,NOM VER:pper PRP DET:ART NOM ADJ,47
573,ADJ NOM NUM,46
49,ADJ NOM PRP NOM,46
4501,NOM PRP:det ADJ NAM PRP DET:ART NOM,46
497,ADJ ADJ NOM,45
727,NOM PRP DET:ART NOM PRP NOM ADJ,44
2725,NOM NOM PRP:det NOM NUM,44
839,NOM PRP:det NOM NUM,44
3163,NOM ADJ PRP DET:ART NOM PRP NOM NAM,44
881,NOM PRP NOM PRP:det NOM PRP NOM,44
211,NOM NAM NUM,44
172,ADJ NOM ADJ NOM,44
643,NOM PRP NOM PRP:det NOM PRP NOM ADJ,44
819,NOM PRP NAM NOM,44
221,NOM PRP NOM ADJ PRP DET:ART NOM,44
3052,NAM NAM NOM NUM,43
960,NOM NUM PRP DET:ART NOM ADJ,43
171,NOM ADJ PRP NOM PRP:det NOM,43
333,NOM ADJ PRP DET:ART NOM PRP:det NOM,42
289,NOM ADJ PRP:det NOM PRP NOM,41
11,NAM VER:simp NOM,41
1099,NAM PUN NOM ADJ PUN,41
580,NOM PRP NOM PRP NOM PRP NOM ADJ,41
367,NOM PRP DET:ART NOM NOM,40
391,NOM PRP DET:ART NOM ADJ PRP DET:ART NOM,40
288,NOM ADJ VER:pper PRP NOM,40
1258,NOM ADJ ADJ PRP NOM NAM,40
291,ADJ NOM PRP DET:ART NOM,40
332,NAM NOM ADJ,40
378,NOM PRP NOM PRP NOM NAM,40
195,NOM PRP:det NOM ADJ PRP:det NOM,40
3162,NOM ADJ PRP DET:ART NOM PRP NOM PRP NOM NUM NAM,40
1437,NOM ADJ PUN ADJ PUN,40
79,NOM PRP:det NOM KON PRP:det NOM,39
479,NOM NOM NOM NAM,39
1622,NOM ADJ ADJ PRP NOM ADJ,38
365,NOM PRP NOM VER:pper PRP DET:ART NOM,38
284,NOM PRP NOM PRP ADJ NOM,38
1141,NAM PUN NUM,38
92,NOM PRP DET:ART NOM PRP:det NOM ADJ,37
311,NOM ADJ ADJ PRP:det NOM ADJ,37
37,ADJ ADJ,36
349,NAM SYM NAM,36
1616,NOM PRP DET:ART ADJ NOM,36
338,NOM PRP VER:infi,36
666,NAM VER:pres NOM,36
3798,NOM PRP:det NOM NAM PRP NOM NUM,36
1229,NOM PUN ADJ PUN,36
886,NOM NOM PRP DET:ART NOM ADJ,35
55,NOM VER:pper PRP NOM ADJ,35
1483,NUM PUN ADJ,35
1068,NOM NOM ADJ PRP NOM NAM,35
1196,VER:pper PRP:det NOM ADJ,34
1351,ADJ PUN ADJ,34
742,NOM PRP NOM ADJ NAM,34
353,NOM VER:pper PRP:det NOM ADJ,34
1692,NOM PRP NOM ADJ PRP NOM ADJ,33
214,NOM PRP NOM ADJ KON ADJ,33
993,NOM NOM PRP NOM PRP:det NOM,33
928,NOM PRP NOM NOM ADJ,33
919,ADJ NOM PRP NOM NAM,32
508,NOM ADJ PRP DET:ART NOM NAM,32
240,NAM VER:futu,31
1220,NOM ADJ PRP:det NOM PRP:det NOM,31
2607,NOM PRP:det NOM PRP NOM NUM,31
3092,NOM PRP:det NOM ADJ PRP DET:ART NOM,31
1524,NOM ADJ PRP DET:ART NAM,31
440,NOM PRP:det ADJ NOM ADJ,31
1259,NOM PRP ADJ,31
588,NOM ADJ PRP:det NOM PRP NAM,31
5517,ADJ NOM ADJ PRP NOM PRP NOM NAM,30
1446,NOM PRP NOM ADJ VER:pper,30
1368,NOM PRP NOM PUN NOM PUN,30
935,NOM ADJ PRP DET:ART NOM NUM,30
1211,NAM NAM ADJ,30
243,NOM ADJ VER:ppre DET:ART NOM,30
743,NOM PRP NOM ADJ PRP:det NOM ADJ,30
1787,ADJ NOM PRP:det NOM ADJ,30
4304,NOM ADJ PRP:det NOM ADJ NAM,29
131,NOM VER:pper PRP NAM,29
35,ADJ ADV ADJ,29
405,NOM PRP:det NOM PRP NOM PRP:det NOM,29
1302,NOM ADJ ADJ VER:pper,29
887,NOM PRP:det NOM PRP DET:ART NOM ADJ,29
730,NOM NOM PRP NAM,29
873,NOM PRP:det NOM PRP NOM PRP NOM,29
143,VER:pres ADJ,28
1232,NOM PRP:det NUM NOM,28
2780,NOM ADJ PRP DET:ART NOM ADJ ADJ,28
377,NOM VER:pper PRP DET:ART NOM PRP NOM,28
1410,NAM PUN NOM PRP NAM PUN,28
2209,NOM NOM ADJ PRP NOM NUM,28
767,NAM PUN NUM PUN,28
1214,NAM PUN NAM NOM PUN,27
341,VER:pper PRP NOM ADJ,27
957,ADJ NOM PRP NOM NUM,27
354,NOM PRP:det NOM PRP:det NOM ADJ,27
387,NAM VER:pres,27
86,NOM NOM ADJ ADJ,27
697,ABR NUM,27
150,ADJ PRP NOM PRP NOM,27
1113,NOM PRP:det ADJ NAM,27
599,NOM ADJ ADJ PRP DET:ART NOM ADJ,26
1332,NOM NAM PRP:det NOM ADJ,26
4057,NOM PRP DET:ART NOM PRP NOM NAM,26
436,ADJ NOM PRP NOM ADJ,26
707,NOM PRP NOM KON NOM,26
578,ADJ NOM ADJ NAM,26
368,NOM NAM PRP NOM ADJ,26
1556,NOM ADJ ADJ KON ADJ PRP NOM NUM,25
1021,NOM ADJ ADJ KON ADJ,25
295,NOM PRP DET:ART NOM KON DET:ART NOM,25
2411,NOM ADJ PRP NOM ADJ ADJ,25
545,NOM PRP DET:ART NOM PRP:det NAM,25
1573,NUM PUN NAM,25
1330,NOM PRP NOM PRP DET:ART NOM PRP NOM,25
439,NOM PRP NAM KON NAM,25
1257,NOM PRP NOM PUN NAM PUN,25
1047,NOM PRP NOM VER:pper PRP:det NOM,25
3660,NOM PRP:det NOM NAM NAM,24
900,NOM PRP DET:ART NOM PRP:det NOM PRP:det NOM PRP NOM ADJ,24
63,NAM PUN NOM ADJ PRP NOM PUN,24
847,NAM NAM NUM,24
202,NOM NAM PRP DET:ART NOM ADJ,24
154,NOM PRP NOM VER:pper PRP NOM,24
1218,NOM ADJ PRP DET:ART NOM PRP NOM,23
453,NAM PUN NAM PUN NOM,23
4077,VER:pres NOM PRP:det NOM NUM,23
898,NOM PRP DET:ART NOM PRP:det NOM NAM,23
459,NOM PRP DET:ART NOM PRP:det NOM PRP NOM,23
1484,NOM NUM PUN ADJ,23
1376,NOM NOM PUN NAM PUN,23
458,NOM ADJ NOM NAM,23
752,ADJ NOM NOM NUM,23
1464,NOM ADJ NOM PRP:det NOM,23
1625,VER:ppre NAM PRP:det NOM,23
9,NUM NOM ADJ,23
4079,ADJ NOM PUN NUM PUN,23
1552,NOM ADJ PUN NAM PUN,23
1182,NOM PUN NOM,23
1300,NOM ADJ NOM NUM,22
4248,NOM ADJ ADJ PRP:det NOM NAM,22
298,NOM ADJ VER:pper ADJ,22
192,NOM PRP DET:ART NOM ADJ PRP NOM NUM,22
958,NOM VER:pper PRP DET:ART NOM NOM,22
1669,NAM PUN NAM NAM NUM PUN,22
463,NOM PRP NOM PRP DET:ART NOM PRP:det NOM,22
435,NOM VER:pper PRP DET:ART NOM PRP:det NOM,22
281,NOM VER:pper PRP:det NAM,22
1513,NOM PRP DET:ART NOM NOM ADJ,22
5622,NOM PRP DET:ART NOM VER:ppre NAM,22
1770,NOM PRP NUM NOM,21
3144,NOM ADJ NOM PUN NOM PUN,21
3508,NOM PRP DET:ART NOM PRP:det NAM ADJ,21
1553,NOM NOM NOM ADJ,21
1016,NOM ADJ PRP:det NOM PRP NOM NUM,21
513,NOM PRP NOM PRP DET:ART NAM,20
832,NOM PRP NOM NAM ADJ,20
400,NOM ADJ PRP NOM NOM,20
1555,NOM ADJ PRP DET:ART NOM PRP NAM,20
5697,ADJ NOM ADJ VER:pper PRP:det NOM PRP:det NOM,20
764,NOM PUN VER:simp PUN,20
410,NOM PRP DET:ART NOM PRP:det NOM PRP NOM ADJ,20
1251,NOM VER:ppre DET:ART NOM ADJ,20
728,NOM ADJ PRP NOM VER:pper,20
583,NOM NOM ADJ NOM,20
417,NOM PRP DET:ART ADJ,20
2286,NOM NOM PRP:det NOM PRP DET:ART NOM,20
672,NOM ADJ NOM PRP NOM,20
1089,NOM PRP:det NAM NAM,19
1307,NOM PRP NOM PRP,19
4844,NOM VER:pper PRP:det NOM VER:pper PRP DET:ART NOM NAM,19
207,NAM PUN NOM PRP:det NOM ADJ PUN,19
1326,NOM PRP:det NOM ADJ PRP NOM,19
3107,NOM NOM PRP DET:ART NOM ADJ PRP NOM NAM,19
1277,NOM PUN NOM ADJ PUN,19
1137,NOM PRP:det NOM PRP:det NOM NAM,19
777,NOM NOM PRP:det NOM ADJ,19
1435,NUM NOM,19
4847,NOM PRP:det NOM VER:pper PRP DET:ART NOM NAM,19
669,ADJ PRP DET:ART NOM,19
441,NOM PRP ADJ NOM ADJ,19
1390,NAM NOM NUM NOM,19
10,NOM PRP DET:ART NOM ADJ PRP NAM,18
2947,NUM PUN ADJ PRP NOM,18
3472,NOM PRP:det NOM PRP NOM NAM,18
1697,NOM ADJ VER:pres ADJ,18
1404,NOM PRP:det NOM VER:pper,18
2102,NOM PRP PRP DET:ART NOM,18
817,NOM ADJ PRP:det ADJ,18
1857,NOM NUM PUN NAM,18
1193,VER:simp,18
773,NOM KON NOM PRP NOM,18
1081,NOM PRP PRP:det NOM,18
793,NOM ADJ NOM NOM,18
1844,ADJ NOM PUN NAM PUN,17
815,NOM PRP ADJ NOM PRP NOM,17
671,NOM PUN NAM PUN,17
265,NAM NUM,17
4533,NOM ADJ PRP:det NUM NOM,17
665,NOM PRP NOM ADJ VER:pper PRP DET:ART NOM,17
1387,NOM VER:simp NOM,17
1261,NOM ADJ PRP ADJ,17
1385,NAM VER:futu NOM,17
2991,NOM PRP:det NOM ADJ PRP NOM ADJ,17
494,NOM PRP PUN NAM PUN,17
1939,NOM NAM PRP NOM NUM,17
2117,NOM ADJ NOM PRP:det NAM,17
318,NOM PRP NOM KON PRP NOM PRP NOM ADJ,17
12,NOM ADJ VER:simp NOM,17
1472,NOM VER:pres NOM,17
1860,VER:pper PRP DET:ART NUM NOM ADJ,17
1574,NOM NAM PUN NOM PUN,17
68,NOM KON NOM PRP:det NOM,17
3305,NOM PRP NOM PRP NOM ADJ ADJ,17
294,NOM ADJ ADV VER:pper,17
52,NOM ADJ PRP NOM PRP NOM ADJ,17
762,NAM NOM ADJ NOM,16
1440,NAM PUN NOM PRP NOM PUN,16
525,NOM ADJ PRP NOM PRP:det NOM ADJ,16
408,NOM ADJ PRP:det ADJ NOM,16
1638,NOM PRP NOM PRP NOM VER:pper,16
897,NOM PRP DET:ART NOM PRP:det NAM NOM,16
492,NAM NAM PRP:det NOM PRP DET:ART NOM PRP,16
496,NOM ADJ PRP PUN NAM PUN,16
306,NOM ADJ VER:pper PRP:det NOM ADJ,16
303,NOM VER:ppre PRP:det NOM,16
5213,NOM ABR PRP:det NOM NUM,16
2455,NOM NOM NOM NOM,16
90,NOM PRP DET:ART NOM PRP DET:ART NOM ADJ,16
3560,NOM PRP:det NOM ADJ PRP NOM NAM,16
2024,NOM ADJ VER:simp,16
495,NOM PRP DET:ART NOM PRP PUN NAM PUN,16
1355,NOM PRP NAM NOM NUM,16
1959,NOM PRP NOM NUM PRP DET:ART NOM,16
224,NOM VER:futu,16
273,NOM NUM NOM NOM,16
1792,ADJ NOM ADJ ADJ,16
1412,VER:simp ADJ,16
804,NAM PUN NOM NAM NOM PUN,16
841,NOM NUM PRP NOM,16
3725,NOM ADJ NOM PRP:det NOM NAM,16
392,VER:pres NOM ADJ,16
775,NOM PRP DET:ART NOM VER:pper,16
1100,NOM ADJ PRP:det NOM PRP NOM ADJ,16
1533,NOM NOM PRP:det NAM,16
1006,NOM PRP NOM PRP:det NOM NOM,16
1583,NOM PRP:det NOM ADJ NUM,16
706,NOM ADJ PRP:det NOM NOM,16
2095,VER:pper PRP DET:ART NOM ADJ,16
853,NOM ADJ VER:pper PRP DET:ART NOM ADJ,16
1320,ADJ KON ADJ,16
1417,NAM PRP NOM,15
4020,NAM NAM NOM NOM,15
1247,VER:pper VER:pper,15
2208,NOM ADJ ADJ NOM NUM,15
1187,NAM PUN NOM PUN NOM,15
4453,NOM NAM PRP:det NOM ADJ PRP DET:ART NOM,15
87,NOM NOM ADJ PRP NOM,15
4732,NOM ADJ VER:ppre PRP NOM NUM,15
1563,NOM VER:pper PRP PRP:det NOM,15
1231,NOM PRP DET:ART NOM ADJ PRP NOM,15
5061,NOM PRP:det NOM ADJ PRP NOM NUM,15
1954,ADJ NOM NOM NOM,15
356,NAM NOM NOM NUM,15
2115,NOM ADJ ADJ PRP:det NAM,15
3191,NOM PRP DET:ART NOM PRP:det NOM PRP:det NOM,15
140,NOM PRP NOM PRP:det NOM ADJ ADJ,15
222,VER:ppre ADJ,15
805,NAM PUN NOM NAM NAM PUN,15
1035,NOM NOM VER:ppre DET:ART NOM,14
444,NOM VER:ppre PRP:det NOM ADJ KON NOM KON PRP:det NOM ADJ,14
2940,NOM PRP NOM ADJ PRP:det NAM,14
493,NAM VER:pres NOM PRP NOM,14
1331,NOM NOM PRP:det NOM NAM,14
3109,NOM NOM NAM ADJ PRP NOM NUM,14
218,NOM PRP:det NOM PRP ADJ NOM,14
3440,NOM PRP NOM PRP NOM NUM PRP DET:ART NAM PUN VER:simp PUN ADV ADJ,14
1847,NOM ADJ PRP:det NOM KON PRP DET:ART NOM,14
3066,NOM PRP NOM ADJ PRP:det NOM NAM,14
1169,NOM PRP DET:ART NOM KON PRP:det NOM,14
647,NOM ABR NOM,14
5889,NOM PRP:det NUM NOM ADJ,14
1161,NOM PRP NOM NAM NAM,14
2442,ADJ NOM VER:pper,14
626,NOM NAM PUN NAM PUN,14
1491,VER:infi VER:pper,14
954,NOM ADJ ADJ NOM ADJ,14
360,NOM ADJ VER:pper PRP PRP:det NOM,14
2120,NOM NAM PRP NOM NOM,14
376,ADJ NOM PRP NAM,14
1909,NOM NAM PRP:det NAM,14
432,NOM PRP:det NOM VER:pper PRP DET:ART NOM,14
3441,NOM PRP NOM PRP NOM NUM PRP DET:ART NAM ADJ NAM NOM PUN VER:simp PUN ADV ADJ,14
398,NOM NOM PRP,14
3537,NAM NAM NAM NOM,14
196,NOM PRP:det NOM PRP NOM NOM,14
2724,NOM ADJ PRP NOM PRP DET:ART NOM,14
798,NOM PRP NOM ADJ PRP NAM,14
5414,NAM NAM NAM PUN NOM NAM,14
1203,VER:infi NOM,13
780,NOM NOM VER:pper,13
3523,NOM PRP NOM PRP:det NOM ADJ PRP NOM ADJ,13
2826,NOM VER:ppre DET:ART NAM,13
1286,NOM PUN NOM ADJ ADJ PUN,13
889,NOM PRP DET:ART NOM PRP NOM PRP NOM,13
629,NOM ADJ NOM ADJ ADJ,13
1060,NOM ADJ NAM NAM,13
3458,NAM NAM PRP DET:ART NOM ADJ,13
820,NOM PRP NAM VER:pper,13
959,NOM ADJ PRP DET:ART NOM NOM,13
1096,NOM PUN NUM PUN,13
528,NOM PRP NOM PRP:det NOM ADJ ADJ PRP:det NOM,13
1037,NOM ADJ VER:pper PRP DET:ART NUM,13
5352,NOM NUM PRP:det NOM NOM PRP NOM ADJ,13
917,NOM ADJ VER:ppre,13
268,NOM PRP NOM PRP:det ADJ,13
474,NAM NAM NAM NAM,13
339,ADJ ADV VER:pper,13
340,VER:pper ADJ,13
105,NOM ADJ KON NOM,13
194,NOM PRP:det NOM PRP:det ADJ,13
345,NOM ADJ PRP NOM KON PRP NOM,13
3695,NOM PRP NOM PRP:det NOM PRP NOM NUM,13
1874,NOM ADJ PRP:det NOM NUM,13
1559,NOM PRP NAM PRP NOM NAM,13
1560,NAM PUN NOM ADJ PRP:det NOM PUN,13
201,NOM PRP NOM PRP NOM PRP DET:ART NAM,13
269,NOM PRP NOM PRP NOM NOM,13
1425,NOM PRP:det NOM ADJ NOM,13
4157,NOM PRP:det NOM ADJ ADJ PRP NOM NUM,13
3690,NOM PRP NOM PRP:det NOM PRP NOM ADJ PRP NOM NUM,13
1610,NOM PRP:det NOM PUN NOM PUN,13
1577,NOM PRP NOM NOM PRP NOM,13
1928,NOM PRP NAM NUM,12
4366,NOM PRP NOM ADJ NUM,12
1438,NAM PUN NOM ADJ NAM PUN,12
1315,NOM ADJ PRP DET:ART NOM PRP DET:ART NOM,12
5119,NOM NOM NOM ADJ PRP NOM NUM,12
1192,NOM ADJ ADJ ADJ ADJ,12
238,NOM PRP NOM KON PRP NOM PRP NOM,12
646,NOM NOM NOM NUM,12
2644,NOM PRP:det NAM NOM,12
1280,NOM ADJ PRP,12
1186,NUM PUN NAM PUN NOM,12
2584,NOM VER:pper PRP PRP:det NOM ADJ,12
1132,NOM VER:pper PRP:det NOM PRP NOM,12
5201,ADJ NOM PRP DET:ART NOM PRP NOM NAM,12
