,Structure,Fréquence
2545,NOM NOM PRP:det NOM PRP NOM,3
3253,NOM ADJ PRP:det NOM VER:pper PRP:det NOM,3
4798,NOM PRP DET:ART NOM PRP NOM PRP:det NOM PRP NAM,3
4795,NOM NAM PUN NAM NOM NUM PUN,3
3543,NOM ADJ ADJ PRP:det NOM KON PRP DET:ART NOM,3
2108,NOM ABR PRP:det NAM,3
6111,ADJ NOM ADJ PRP:det NOM VER:pper PRP DET:ART NOM,3
851,NOM PRP NOM ADJ KON PRO:DEM PRP:det NOM,3
5909,NOM PRP DET:ART NOM VER:pper PRP PRP:det NOM,3
877,NOM VER:pper ADJ KON ADJ,3
875,ADJ VER:pper,3
5914,NAM PRP NAM NOM,3
6064,NAM VER:futu NOM NAM,3
856,VER:pper PRP VER:infi DET:ART NOM,3
5675,NOM ADJ PRP:det NOM ADJ PRP:det NOM PRP:det NOM ADJ,3
1439,NOM PRP NOM ADJ PRP NOM NOM,3
504,NOM PRP NOM PRP DET:ART NAM ADJ NOM,3
1516,NOM PUN NUM,3
1518,NOM NUM NOM PUN NAM PUN,3
1526,NOM PRP NOM ADJ ADJ PRP NOM NUM,3
509,NOM PRP NOM VER:pres,3
826,NAM NAM PRP NOM,3
5686,ADJ NOM PRP NOM ADJ PRP NOM NOM,3
5908,NOM PRP:det NOM PRP DET:ART NOM VER:pper PRP PRP:det NOM,3
121,NOM VER:pper ADV PRP:det NOM,3
895,NAM VER:simp NOM ADJ,3
902,NOM PRP NOM VER:pper PRP ADJ NOM,3
903,NOM NAM PRP NOM PRP NOM VER:ppre DET:ART NAM,3
904,NOM NAM PRP NOM PRP NOM PRP NOM PRP DET:ART NAM,3
5691,ADJ NOM PRP NOM ADJ NOM,3
5695,NOM PRP:det NOM NAM PRP DET:ART NOM PRP NOM ADJ,3
908,NAM VER:pres PRP NOM,3
1476,ABR PUN NAM NAM PUN,3
910,VER:pres VER:pper PRP DET:ART NOM NAM,3
1474,NOM ADJ VER:subp NAM,3
471,NOM PRP DET:ART NOM NAM PRP NOM VER:ppre DET:ART NAM,3
1465,NOM PRP ADJ PRP:det NOM,3
1456,VER:simp NOM NOM,3
920,NOM PRP VER:infi PRP DET:ART NOM,3
825,NOM PRP DET:ART NOM VER:simp,3
1539,NOM ADJ ADJ PRP NAM NAM,3
514,NOM NOM PUN ADJ,3
769,NOM PRP NOM VER:pper PRP DET:ART NOM VER:ppre DET:ART NOM ADJ,3
64,VER:pres PRP ADJ NOM,3
5642,NOM ADJ PRP NOM ADJ VER:ppre PRP NOM NUM,3
6169,NOM PRP NOM ADJ PRP DET:ART NOM VER:ppre DET:ART NOM,3
1607,ABR PUN NAM,3
1605,ABR PUN NUM PRP,3
1604,NOM PRP NAM NOM PRP,3
5971,ADJ NOM PRP DET:ART NOM PRP:det NOM ADJ PRP:det NOM NOM,3
5970,ADJ NOM PRP DET:ART NOM PRP:det NOM PRP:det NOM NOM,3
5969,ADJ NOM PRP DET:ART NOM PRP:det NOM ADJ PRP NOM,3
5968,ADJ NOM PRP DET:ART NOM PRP:det NOM ADJ ADJ PRP:det NOM NOM,3
729,VER:pper PRP NOM VER:pper,3
738,NOM PRP NOM PRP DET:ART NOM ADJ NAM,3
1588,NOM ADJ PRP DET:ART NOM KON PRP DET:ART NOM,3
5653,NOM ADJ ADJ PRP:det NOM ADJ VER:pper PRP DET:ART NOM,3
5657,NOM PRP:det NOM ADJ PRP NOM ADJ ADJ,3
1546,NOM ADJ ADJ PRP NOM NOM,3
774,NOM NOM PRP NOM KON NOM,3
523,NOM ADJ VER:ppre DET:ART NOM PRP NOM PRP NOM NUM PRP NAM,3
782,NOM NOM PRP:det NOM NOM,3
521,NOM ADJ NAM VER:ppre DET:ART NOM PRP NOM PRP NAM,3
1566,NOM ADV NOM,3
787,NOM PRP VER:pper,3
1562,ADJ NOM VER:pper PRP:det NOM,3
1561,NOM PRP NUM PRP NUM NOM,3
520,NOM NAM PUN VER:ppre DET:ART NOM PRP NOM PRP NAM PUN,3
796,NOM PRP NOM PRP NOM PRP:det NAM,3
519,NOM ADJ VER:ppre DET:ART NOM PRP NOM PRP NAM,3
812,NOM ADJ NOM VER:pper,3
814,NAM PUN ADJ NAM NAM PUN,3
821,NOM ADJ ADJ ADJ NOM,3
151,ADJ PRP NOM VER:pper,3
454,NAM NOM ADJ ADJ NOM,3
698,NOM NOM VER:pres,3
1244,VER:pper VER:pper PRP:det NOM,3
1120,NOM PRP NOM NUM PRP:det NOM PRP NOM VER:ppre ADJ,3
1117,NOM PRP ADJ ADJ,3
1112,NOM PRP:det NOM PRP:det NOM VER:pper PRP:det NOM PRP DET:ART NOM,3
6110,ADJ NOM ADJ NOM NUM,3
1105,NOM ADJ PRP DET:ART NOM KON PRP:det NOM,3
5772,NAM NAM PRP NOM NUM VER:ppre DET:ART NOM NAM,3
323,NOM VER:pres ADV VER:pper,3
1434,VER:pper PRP:det NOM PRP:det NOM,3
5771,NAM NAM PRP NOM NUM NAM,3
1248,ABR PUN NOM PUN,3
1264,NOM ADJ PRP:det NOM KON NOM,3
1080,NOM NAM PRO:PER VER:ppre PRP DET:ART NOM,3
347,NOM SENT NOM NAM,3
1268,NOM VER:ppre PRP DET:ART NOM NAM,3
1233,NOM ADJ PRP NUM NOM KON ADV,3
1125,ADJ NOM PRP NOM NOM NOM,3
1226,NOM ADJ PRP DET:ART NAM ADJ,3
1131,NOM PRP:det ADJ KON ADJ,3
1133,NOM PUN NAM NAM NOM PUN,3
1213,NOM NAM PUN NOM,3
1207,NAM NAM PRP NOM ADJ,3
1156,NOM ADJ ADJ KON NOM ADJ,3
1157,NOM ADJ ADJ ADJ KON ADJ,3
1170,NOM PRP NOM PUN NOM PRP NOM PUN,3
1171,NOM PRP NOM KON ADJ,3
279,NOM PRP DET:ART NOM PRP:det ADJ NOM,3
1194,NOM PUN NOM PUN NOM,3
1175,NAM VER:ppre PRP DET:ART NOM ADJ,3
5790,NOM ADJ PRP DET:ART ADJ NOM PRP DET:ART NOM,3
5791,NOM ADJ PRP DET:ART NOM PUN ADJ NOM,3
1184,NUM PUN NAM PUN NAM PUN NOM PUN NOM,3
1072,NAM VER:pres PRP DET:ART NOM,3
1270,NOM PUN NOM KON NOM ADJ,3
215,NAM PUN NOM ADJ KON ADJ PUN,3
1375,NOM PRP NOM KON PRP NAM,3
940,NOM NOM PRP NOM NOM NUM,3
941,NOM NOM NAM VER:pper PRP ADJ NOM,3
448,NOM VER:ppre ADJ,3
153,ADJ PRP NOM ADJ PRP NOM,3
942,NOM NOM NAM VER:pper PRP NOM VER:pper,3
1413,NAM PUN NOM PRP NAM NAM PUN,3
953,NAM NOM NOM NUM NOM NAM,3
955,NOM NAM PRP DET:ART NOM PRP:det NOM NOM,3
156,NOM VER:pper PRP NOM PRP NOM PRP NOM,3
418,NAM VER:pres PRP NAM,3
1389,NOM PRP DET:ART NOM PRP:det NOM PRP NOM NUM,3
1380,NOM PRP NOM PRP:det ADJ NOM,3
975,NOM PRP:det NOM PRP VER:infi,3
976,NOM PRP DET:ART NOM PRP VER:infi,3
1372,NOM PUN NOM PRP DET:ART NOM ADJ PUN,3
212,NOM ADJ NAM NUM,3
989,NOM NOM ABR VER:pper PRP ADJ NOM,3
166,NOM NOM ADJ ADJ NOM,3
1339,ABR PUN NOM NAM PUN,3
1337,NAM KON NAM,3
5874,NOM PRP:det NOM ADJ PRP:det NOM NAM,3
1003,NAM NOM VER:subi NOM,3
5870,VER:simp ADJ PRP NOM,3
1017,NOM NAM ADJ PRP NOM,3
5749,NAM VER:ppre DET:ART NOM PRP:det NOM,3
193,VER:pres VER:pper,3
6098,NOM ADJ PRP DET:ART NOM VER:ppre DET:ART NOM NAM,3
5758,NOM PRP NOM NOM VER:pper PRP PRP:det NOM,3
1031,NOM PRP NOM PRP NOM PRP DET:ART NOM ADJ,3
362,NOM PRP NOM ADJ VER:pper PRP PRP:det NOM,3
699,NOM NUM ADJ NOM PRP NOM,3
5901,NOM PRP NOM ADJ PRP VER:infi,3
275,NOM PRP DET:ART NOM PRP NOM PRP:det NOM ADJ,3
690,NOM PRP NOM VER:pper PRP DET:ART NOM PRP:det NOM VER:pper PRP DET:ART NOM NUM,3
1641,NAM PUN NOM ADJ PRP DET:ART NAM PUN,3
1724,ADJ PUN NOM,3
1642,NAM PUN ADJ,3
554,NOM PRP DET:ART NOM PRP NOM PRP DET:ART NOM,3
1661,NOM NUM PRP DET:ART NOM PRP NOM PRP NOM,3
1659,NUM PUN PUN ADJ PUN ADJ PUN ADJ,3
685,NAM VER:ppre DET:ART NOM ADJ KON DET:ART NOM ADJ,3
1658,NOM PUN NOM PUN NAM,3
5631,NAM NAM VER:pres NOM NAM NUM NAM NUM,3
684,NOM VER:ppre PRP:det NOM ADJ KON NOM,3
683,NOM PRP NOM NAM NUM,3
653,NOM NAM VER:ppre DET:ART NOM,3
594,NOM NOM PRP DET:ART NOM NAM,3
579,NOM ADJ VER:pres PRP DET:ART NOM,3
650,NAM VER:futu NOM NUM,3
1656,NUM PUN NAM PUN NOM PUN,3
623,NOM ADJ PRP DET:ART ADJ NOM ADJ,3
676,NAM PUN NUM PUN NAM NAM,3
5629,NOM NOM PRP:det NOM PRP NOM PRP DET:ART NOM,3
1662,ADJ PRP DET:ART NOM PRP NOM PRP NOM PRP NOM NUM,3
1643,NOM ADJ PRP NAM PRP NOM NUM,3
1671,VER:pres NOM PRP NOM,3
1688,NOM ADJ PUN NOM,3
567,NAM NAM ADJ PRP DET:ART NOM ADJ,3
598,VER:ppre ADJ NOM,3
1704,ADJ PRP NOM PRP:det NOM ADJ,3
5985,NOM PRP NOM NAM ADJ PRP DET:ART NOM ADJ,3
2746,NOM KON ADJ KON ADJ,2
3739,NOM ADJ ADJ NOM NOM NOM,2
2743,NOM ADJ PRP NOM PRP DET:ART NAM,2
3767,NOM PRP DET:ART NOM PRP:det NOM PRP NOM PRP:det NOM PRP:det NAM,2
5849,ADJ PRP NOM ADJ PRP NOM ADJ,2
2686,NOM PRP:det NOM NOM NOM NAM,2
618,NOM PRP:det NOM ADJ VER:pper PRP DET:ART NOM PRP:det NOM,2
2742,NOM ADJ PRP:det NOM PRP NOM PRP DET:ART NOM,2
1028,NOM VER:pper PRP DET:ART NOM PRP:det NOM ADJ VER:pper ADV PRP:det NOM PRP:det NOM,2
3742,NUM PUN PUN NAM,2
361,NOM PRP NOM PRP NOM VER:pper PRP PRP:det NOM,2
3743,NOM ADJ PUN NUM,2
1063,NOM PRP:det NOM PRP NOM NOM PRP DET:ART NOM PRP NAM,2
4516,NOM ADJ VER:pper PRP DET:ART ADJ PRP NOM,2
1020,NOM ADV VER:ppre PRO:PER VER:infi ADJ,2
2685,NOM ADJ PRP NOM PRP:det NOM NOM NAM,2
6025,NOM NOM ADJ VER:subp NOM NUM,2
4517,NOM ADJ VER:pper PRP DET:ART ADJ PRP:det NOM,2
2750,NOM VER:ppre NOM,2
5122,NOM PRP ADJ VER:pper PRP NOM,2
5842,NOM PRP NOM PRP DET:ART NOM NOM PRP:det NOM ADJ,2
4518,ADJ NOM VER:pper PRP DET:ART ADJ PRP NOM,2
1019,NOM ADJ PRP PRO:PER VER:infi ADJ,2
3735,NOM ADJ ADV PRP NOM PRP NOM PRP:det NOM,2
3734,NOM ADJ ADV PRP NOM NAM,2
576,NOM PRP:det NOM ABR PRP DET:ART NOM PRP NOM ADJ,2
5082,NOM NAM PRP:det NOM PRP DET:ART NOM ADJ PUN ADJ,2
3733,NOM ADJ ADV PRP:det NOM NAM,2
4519,ADJ NOM VER:pper PRP DET:ART ADJ PRP:det NOM,2
6026,NOM PRP DET:ART NOM PRP PRP:det NOM ADJ,2
1030,ABR NOM NAM,2
1058,NOM PRP ADJ NOM PRP NOM KON PRP ADJ NOM PRP NOM,2
2693,NAM PUN NAM ADJ,2
2699,NOM PRP:det NOM VER:pper PRP DET:ART NOM ADJ,2
2701,NOM ADJ PRP:det NOM ADV ADJ,2
5850,ADJ PRP NOM PRP NOM PRP NOM ADJ,2
363,NOM ADJ ADJ VER:pper PRP PRP:det NOM,2
2706,NOM PRP NOM VER:ppre PRP DET:ART NOM,2
5113,NUM PUN ADJ PUN ADJ,2
369,NOM VER:pres PRP DET:ART NOM,2
4502,NUM PUN PUN NUM PUN PUN NUM PUN ADJ,2
5853,NOM PRP NOM NUM VER:ppre PRP:det NOM,2
5854,NOM PRP DET:ART NOM PRP:det NOM PRP NOM PUN NOM PRP NOM ADJ PUN,2
2716,NOM NUM PRP NOM PRP NOM PRP NOM,2
4496,NOM PUN ADJ NOM NAM PUN,2
5855,NOM PRP DET:ART NOM PRP:det NOM PRP NOM PUN NOM PRP NOM PUN,2
4507,NOM NUM NOM PRP DET:ART NOM NOM,2
5858,NOM ADV ADJ PRP NOM ADJ NOM,2
5121,NOM PRP DET:ART NOM ADV PRP DET:ART NOM,2
2721,NOM PRP NOM PRP:det NOM VER:pper,2
2692,NAM PUN NAM PRP NOM,2
5862,NAM PUN PUN NUM PUN PUN NAM,2
1038,NOM PRP DET:ART NOM PRP DET:ART NOM NUM,2
5869,NOM PRP DET:ART NOM PRP NOM ADJ VER:pper,2
1036,NOM VER:ppre PRP:det NOM NOM ADJ,2
4727,ADJ NOM PRP:det NOM PRP NOM PRP DET:ART NOM NAM,2
1034,NOM PRP NOM NAM PRP NOM NUM,2
1033,NOM VER:ppre DET:ART NOM ADJ PRP:det NOM,2
2729,NOM VER:ppre PRP:det NOM ADJ PRP NAM,2
5863,ADJ PRP NOM PRP NOM PRP NOM PRP NOM,2
2691,NOM ABR PUN ADJ,2
3748,NOM PRP:det NOM ADJ KON ADJ NOM,2
619,NOM PRP:det NOM NOM VER:pper PRP DET:ART NOM PRP NOM,2
5081,NOM NUM PRP:det NOM PRP DET:ART NOM ADJ PUN ADJ,2
3724,NAM PUN NAM ADJ NOM NUM PUN,2
3443,NOM ADJ ADV ADJ NOM,2
5040,NAM NAM NOM PRP NOM NAM,2
3454,NOM PRP NOM PRP DET:ART ADJ NOM,2
6089,ADJ NOM PRP:det NOM PRP NOM NUM,2
3696,NOM PRP NOM NUM PRP:det NOM PRP NOM ADJ,2
3346,NOM VER:ppre DET:ART NAM ADJ,2
979,NAM NAM PUN NAM PUN ABR NOM,2
2818,NOM VER:ppre DET:ART NOM PRP NOM PRP NOM,2
4535,NOM PRP:det NUM NOM NUM,2
3701,NAM NOM ADJ NOM ADJ,2
3729,NOM NAM PRP:det NOM PRP NOM PRP:det NOM,2
4744,NOM ADJ VER:ppre PRP ADJ NOM,2
4534,NOM ADJ PRP:det NUM NOM NUM,2
2813,NUM PUN NUM PUN NAM PUN NUM PUN NUM PUN NUM PUN NAM PUN NAM,2
4741,NOM NAM ADJ ADJ,2
411,NOM PRP NOM ADJ KON PRP NOM NOM NOM,2
409,NOM VER:pper PRP:det ADJ NOM,2
3705,NOM PRP:det NOM PRP NOM PRP:det NOM NOM,2
3343,NOM ADJ PRP DET:ART NOM PRP:det NOM PRP DET:ART NOM,2
415,NAM PUN NOM PRP NAM PRP NUM NOM PUN,2
5032,NOM VER:pper PRP:det NOM PRP:det NAM VER:pres PRP DET:ART NOM,2
2829,NUM PUN NAM PUN NAM PRP NOM,2
3680,NOM PUN NOM ADJ NOM ADJ PUN,2
2852,NUM PUN NUM PUN NAM ADJ,2
2851,NUM PUN NUM PUN ADJ PRP NOM,2
3684,NOM PRP:det NOM PRP DET:ART NOM NUM,2
967,NAM VER:ppre DET:ART NOM PRP NOM ADJ NUM,2
5022,NOM ADJ NOM VER:ppre PRP DET:ART NOM,2
2839,NOM VER:pper PRP DET:ART NOM PRP DET:ART NOM,2
5026,ADJ NAM NAM PUN NAM PUN,2
3341,NOM PRP NOM PRP:det NOM PRP:det NAM,2
3691,NOM PRP NOM PRP DET:ART NOM PRP NOM NUM,2
5029,NOM ADJ PRP DET:ART NOM ADJ NAM,2
2833,NOM PRP VER:infi ADJ,2
4747,NOM ADJ ADJ PRP:det NOM PRP ADJ NOM,2
5030,NOM ADJ ADJ PRP DET:ART NOM NOM,2
2830,NUM PUN NAM PUN NAM ADJ,2
986,NOM PUN:cit NAM NAM PUN:cit,2
987,NOM PUN:cit DET:ART ADJ NOM PUN:cit,2
2805,NAM NOM PRP:det NOM ADJ,2
2781,NOM NOM PRP NOM ADJ PUN ADJ KON ADJ,2
998,NOM PRP NOM NAM PRP DET:ART NOM ADJ PRP ADJ NAM,2
999,NOM PRP NOM NAM PRP DET:ART NOM PRP NOM NOM,2
5875,NOM NAM ADJ PRP NAM,2
3721,NOM PRP DET:ART NOM ADJ PUN VER:simp PUN,2
6095,NOM NOM NUM NOM NUM,2
3354,NOM PRP DET:ART NOM VER:ppre PRP:det NOM,2
3355,NOM PRP:det NOM VER:ppre PRP:det NOM,2
3723,NOM ADJ PRP NOM NUM PRP DET:ART NOM,2
3446,NOM PRP NOM PRP DET:ART NOM PRP NOM PRP DET:ART NAM,2
1071,NAM VER:pres ADJ PRP DET:ART NOM,2
3727,NOM ADJ NOM PRP DET:ART NOM PRP NOM PRP:det NOM,2
3444,NOM PRP NOM PRP DET:ART NOM PRP NOM PRP DET:ART NAM ADJ,2
1004,NOM NOM NOM VER:subi,2
5872,NOM NAM NOM PRP:det NOM NAM,2
3728,NOM NAM PRP DET:ART NOM ADJ NAM,2
5876,ADJ NOM KON NOM PRP:det NOM NAM,2
3720,ADJ NOM NOM PUN VER:simp PUN,2
6092,NOM PRP NOM NAM PUN NOM PUN,2
5877,NOM PRP NOM KON PRP NOM PRP:det NOM NAM,2
6093,NAM VER:simp NUM,2
399,NOM PRP NOM NOM PRP DET:ART NOM ADJ,2
3450,NOM PRO:PER VER:ppre PRP DET:ART NOM PRP NOM PRP DET:ART NAM,2
3714,NOM PRP NOM ADJ PRP NOM KON VER:pper,2
3449,NOM PRO:PER VER:ppre PRP DET:ART NOM PRP NOM PRP DET:ART NAM ADJ,2
2795,NAM NOM ADJ ADJ NOM ADJ PUN VER:simp PUN,2
6094,NOM NOM NUM NOM PUN NUM PUN,2
990,NOM NOM ABR VER:pper PRP NOM VER:pper,2
5880,NOM NOM NOM PUN ADJ,2
5879,NOM ADJ NOM PUN NAM,2
396,NOM PRP NOM PRP DET:ART NOM PRP:det ADJ,2
2788,ADJ NOM PRP:det NOM PRP DET:ART NOM ADJ,2
5878,NOM ADJ KON ADJ PRP:det NOM NAM,2
5059,NOM NOM PRP:det NOM NOM ADJ,2
2785,NOM PRP:det ADJ PUN ADJ PUN,2
3771,NOM PRP NOM NAM NOM,2
2664,NOM VER:simp NOM NAM NUM,2
4725,NOM PRP NOM ADJ PRP DET:ART NOM NAM,2
1130,NOM PRP:det NOM NUM PRP DET:ART NOM PRP NOM ADJ,2
309,NOM ADJ NOM PRP NOM ADJ,2
3399,NOM ADJ ADJ NOM PUN VER:pper KON VER:pper,2
5196,NOM PRP NOM PRP:det NOM ADJ PRP NOM NUM,2
2550,NOM PRP ADJ KON ADJ PRP NOM,2
3839,NOM VER:pper PRP PRP:det NOM PRP NOM,2
6113,ADJ VER:ppre DET:ART NOM PRP NOM ADJ,2
2546,NOM PRP VER:infi PRP PRP:det NOM PRP NOM,2
3400,NOM ADV ADJ ADJ NOM ADJ,2
305,NOM ADJ VER:pper PRP:det ADJ,2
5809,NOM PRP NOM NAM PRP DET:ART NOM ADJ,2
1142,NOM NOM KON NOM,2
2540,NOM ADJ NUM ADJ PRP DET:ART NOM,2
4441,NOM PRP NOM PRP PRP DET:ART NOM,2
3845,NOM NAM PUN NOM NAM NAM NAM PUN,2
1145,NOM PRP DET:ART NOM PRP NOM VER:pper,2
3424,NAM PUN NOM NOM NUM PUN,2
2559,NOM NAM NAM PRP DET:ART NOM,2
5807,NOM ABR PRP DET:ART NOM PRP:det NOM ADJ,2
2560,NAM PRP NUM PUN ADJ ADJ NOM PUN NOM,2
4457,NOM NUM PRP DET:ART NOM VER:pper,2
3825,NAM PUN NOM PRP NOM PUN ADJ,2
4454,NOM PRP PRP:det NOM ADJ PRP DET:ART NOM,2
3394,NOM NOM ADJ VER:ppre PRP:det NOM,2
4452,NOM NUM PRP:det NOM ADJ PRP DET:ART NOM,2
6021,NOM VER:ppre DET:ART NOM ADJ PRP DET:ART NOM NAM,2
2571,NOM NOM ADJ PRP:det NOM KON PRP:det NOM,2
4451,NOM NOM PRP:det NOM ADJ PRP DET:ART NOM,2
2567,ADJ PRP DET:ART NOM NAM,2
3832,NOM VER:pper PRP DET:ART NOM PRP NOM ADJ,2
3833,NOM ADJ ADJ VER:pper PRP PRP:det NOM ADJ,2
5187,ABR VER:pper PRP:det NOM ADJ,2
5188,NOM VER:pper PRP:det NOM ADJ PRP NOM NAM,2
1129,NOM PRP:det NOM PRP NOM VER:ppre ADJ,2
5190,NOM VER:pper PRP:det NOM ADJ PRP NOM ADJ,2
2535,NOM PRP NOM PRP NOM PRP NOM PRP NOM ADJ,2
2533,NOM ADJ NOM NAM PRP PRP:det NOM ADJ,2
5129,NOM PRP:det NOM PRP NOM KON PRP NOM VER:pper PRP:det NOM,2
6019,NOM PRP NOM PRP:det NOM ADJ PRP DET:ART NOM NAM,2
1172,NOM ADJ KON NOM ADV ADJ,2
283,NOM ADJ ADJ PRP ADJ NOM NAM,2
2502,NOM ADJ ADJ ADJ PRP:det NOM,2
5225,NOM ABR ADJ PRP:det NOM,2
2499,ADV PUN NAM NAM NAM PUN,2
2498,NAM PUN NOM NAM PRP NAM PUN,2
6017,NOM PRP DET:ART NOM ADJ VER:ppre DET:ART NOM,2
2497,NOM PRP DET:ART ADJ NOM PRP NAM,2
604,NOM PRP:det NOM KON PRP:det NOM PRP NOM NUM,2
4698,NOM PRP DET:ART NOM NAM PUN NOM,2
6119,NOM PRP:det NOM PRP:det NOM NAM PRP NOM NUM,2
3412,ADJ PRP ADJ NOM ADJ,2
3413,NAM PUN NOM NOM NAM PUN,2
1176,NOM PRP NUM NOM VER:ppre PRP DET:ART NOM ADJ,2
2492,NOM ADJ PRP DET:ART NOM PRP:det ADJ,2
6014,NOM NAM VER:ppre DET:ART NOM NAM,2
6116,NOM PRP NOM ADJ PRP PRP:det NOM ADJ,2
5207,NOM NAM NAM NAM NOM NUM,2
2512,NAM PUN NAM NUM PUN,2
2529,NOM PRP DET:ART NOM KON NOM ADJ,2
4437,NOM PRP ADV ADV VER:infi PRP NOM,2
5209,VER:pres NOM ADJ PRP NOM NUM,2
4436,ADJ PRP PUN NAM PUN PRP DET:ART NOM,2
3851,NOM PUN NUM SYM PRP NOM PUN,2
2524,NOM PRP NOM ADV NOM,2
3852,NUM PUN NAM PUN NOM PUN NOM PUN ADJ,2
3853,NOM NUM PUN ADV VER:pper,2
4435,NOM PRP DET:ART NOM PRP NOM ABR,2
1153,NOM NAM KON NAM,2
3402,NOM ADV VER:pper ADJ NOM ADJ,2
3403,NOM ADV VER:pper ADJ PRP NOM ADJ,2
1158,NOM ADJ ADJ KON ADJ PRP:det NOM,2
2516,ABR PUN NUM PUN NAM,2
5800,NOM PRP:det NOM PRP DET:ART NOM PRP NOM ABR,2
3821,NAM PUN NOM VER:ppre DET:ART NOM PUN,2
2581,NOM PRP DET:ART NOM KON PRP:det NOM PUN NOM PUN,2
315,NAM NOM ADJ ADJ,2
2650,ADJ PRP NOM PUN NAM PUN PRP NOM,2
5143,NOM ADJ ADJ PRP DET:ART NAM,2
614,NOM NOM VER:pper PRP DET:ART NOM PRP NOM,2
3378,NAM NOM VER:simp NOM,2
6103,NOM NOM PRP NOM ADJ VER:pper,2
329,ADJ VER:ppre VER:pper PRP:det NOM PRP DET:ART NOM,2
612,NOM PRO:PER VER:ppre PRP:det NOM PRP NOM PRP NAM,2
4717,NAM PUN NAM NOM PUN NOM PUN,2
1083,NAM PRP NAM PRP:det NOM,2
3789,NOM PRP DET:ART NOM ADJ PRP:det ADJ NAM,2
6104,NOM ADJ PRP:det NOM PUN PRP:det NOM KON PRP DET:ART NOM,2
5836,NOM PRP NOM NOM NOM PRP DET:ART NOM ADJ KON DET:ART NOM,2
3793,NOM PRP DET:ART NOM NOM PRP:det ADJ NAM,2
6107,NOM PRP:det NOM ADJ VER:pper PRP DET:ART NOM,2
5835,NOM PRP DET:ART NOM ADJ KON DET:ART NOM,2
5834,NOM PRP NOM PRP DET:ART NOM NAM PUN NOM PRP:det NOM ADJ,2
5142,NOM VER:pper PRP DET:ART NOM PRP DET:ART NOM ADJ,2
2651,ADJ NOM PUN NAM PUN PRP NOM,2
2583,NOM PRP DET:ART NOM KON DET:ART NOM PUN NOM PUN,2
2652,ADJ NOM PUN NAM PUN ADJ,2
617,NOM PRP:det NOM ADJ VER:pper PRP DET:ART NOM PRP NOM,2
2671,NOM NOM ADJ KON ADJ,2
3776,NOM NAM NAM NAM NAM PUN VER:simp PUN,2
1073,NAM VER:pres PRP DET:ART NOM PRP DET:ART NOM,2
2667,NOM VER:simp NOM NAM,2
4724,NOM PRP NOM PRP NOM ADJ KON PRP NOM NOM PRP NOM,2
2666,NOM VER:simp NOM NAM NAM,2
2855,ADJ ADJ NOM NAM,2
2663,NOM VER:simp ADJ NOM,2
3779,NOM KON NOM PRP DET:ART NOM ADJ,2
1075,NOM PRP DET:ART NOM NAM NAM,2
350,NAM VER:simp NAM NUM,2
4484,NOM PRP DET:ART NOM ADJ SENT,2
4723,NOM PRP NOM PRP NOM ADJ KON PRP NOM PRP NOM,2
2653,ADJ PRP NOM PUN NAM PUN ADJ,2
5154,VER:pper KON VER:pper,2
3384,NOM PRP DET:ART NOM ABR NOM,2
5831,NOM PRP NOM PRP DET:ART NOM NAM PUN NAM PRP:det NOM ADJ,2
2626,NOM ADJ PRP DET:ART NOM ADV ADJ,2
2601,NOM PRP NOM PRP DET:ART NOM PRP DET:ART NOM ADJ,2
4464,NAM NOM PRP:det NOM ADJ PRP ADJ NOM,2
610,NOM PRP NOM PRP DET:ART NOM NUM,2
4463,NAM NOM PRP:det NOM ADJ PRP NOM ADV ADJ,2
4694,NOM NAM PRP:det NOM PRP DET:ART NOM NOM,2
5821,NOM PRP NOM NOM PRP NOM ADV ADJ,2
2594,NOM NOM PUN NOM PUN NAM,2
3428,NOM PUN VER:pres PUN,2
316,NOM ADJ PRP PRP:det NOM,2
607,NOM NAM PRP NOM PRP DET:ART NOM NUM,2
5174,NOM ABR PRP NOM NOM PRP NOM NOM,2
5175,NOM ABR PRP NOM NOM PRP:det NOM NAM,2
2587,NOM PUN NOM ADJ PRP:det NOM PUN,2
4460,NOM VER:pper PRP:det NOM PRP DET:ART NOM NAM,2
2585,NOM PUN NOM ADJ KON NOM ADJ,2
6109,NOM NOM ADJ PRP:det NOM VER:pper PRP DET:ART NOM,2
4466,NUM PUN ADJ NOM ADJ,2
1108,NOM PRP:det NOM PRP NOM PRP NOM NUM,2
1098,ADJ NOM PUN ADJ PUN,2
3432,ADV NUM,2
2624,NOM ADJ KON PRP DET:ART NOM,2
2623,NOM ADJ ADJ KON PRP DET:ART NOM,2
2622,NOM ADJ PRP:det NOM ADJ KON ADJ,2
2621,NOM PRP:det NOM PRP:det NOM KON PRP DET:ART NOM,2
1095,NOM PUN NUM PUN PRP NOM,2
2615,NAM PUN NOM NAM NAM NOM PUN,2
6108,NOM PRP:det NOM ADJ PRP NAM PUN NAM KON NAM,2
611,NAM VER:ppre DET:ART NOM PRP NOM PRP NAM,2
5164,NOM PRP:det NOM NOM PRP:det NAM,2
2613,NOM PRP DET:ART VER:simp,2
2610,NOM PRP DET:ART ADJ NOM PRP NOM PRP,2
2609,NOM PRP:det VER:simp PRP NOM PRP,2
3388,NOM ADJ ADJ ADJ ADJ PRP NOM NUM,2
956,NOM PRP NOM ADJ NOM VER:ppre VER:infi DET:ART NOM ADJ,2
